漢字,羅馬字,建議順序,類型
烙,lo̍k,,不標
特,ti̍k,,不標
狸,lî,,不標
狽,puē,,不標
珮,puē,,文
珮,puè,,白
琉,liû,,不標
畔,puān,,不標
畚,pún,,文
畚,pùn,,不標
畚,pūn,,不標
畝,bóo,,不標
畝,bió
疲,phî,,不標
疳,kam,,不標
疸,thán,,不標
疸,tán
疹,tsín,,不標
疾,tsi̍t,,文
疾,tsi̍k,,白
矩,kí,,不標
矩,kú,,不標
砲,phàu,,不標
祐,iū,,不標
祕,pì,,不標
祚,tsōo
祚,tsà,,不標
秘,pì,,不標
秦,tsîn,,不標
秩,tia̍t,,不標
秪,te,,不標
秪,ti
秫,tsu̍t,,不標
窄,tsik,,不標
窈,iáu,,不標
笆,pa,,不標
紋,bûn,,不標
紐,liú,,不標
紛,hun,,不標
羔,ko,,不標
羔,koo
翅,tshì,,不標
耆,kî,,不標
耕,king,,不標
耘,ûn,,不標
胭,ian,,不標
胰,î,,不標
胱,kong,,不標
脂,tsi,,不標
脅,hia̍p,,不標
舨,pán,,不標
航,hông,,文
航,hâng,,俗
茭,kau,,文
茭,ka,,不標
茭,kha,,不標
茯,ho̍k,,不標
茱,tsu,,不標
茵,in,,不標
茸,jiông,,不標
茸,liông,,不標
茸,giông
荀,sûn,,不標
荇,hīng,,不標
荊,king,,不標
荐,tsiàn,,不標
荔,lē,,文
荔,nāi,,白
虔,khiân,,不標
蚊,bûn,,不標
蚌,pāng,,不標
蚓,ín,,文
蚣,kong,,文
蚣,kang,,白
蚤,tsó,,文
蚤,tsóo,,文
蚤,tsáu,,白
衲,la̍p,,不標
衷,thiong,,不標
訊,sìn,,不標
訓,hùn,,不標
豈,khí,,不標
貢,kòng,,不標
躬,kiong,,不標
辱,jio̍k,,不標
辱,lio̍k,,不標
辱,gio̍k
迴,huê,,不標
郡,kūn,,不標
酌,tsiok,,不標
陛,pē,,文
陛,pè,,俗
陝,hia̍p,,文
陝,siám,,不標
陞,sing,,不標
偉,uí,,不標
偕,kai,,不標
側,tshik,,不標
偵,tsing,,不標
偶,ngóo,,不標
偶,gió
偽,guī,,不標
凰,hông,,不標
勘,khàm,,文
勘,kham,,俗
匿,li̍k,,不標
售,siû,,文
售,siū,,不標
唯,uî,,不標
唯,î
商,siong,,不標
商,siang
啟,khé,,不標
啡,pi,,不標
啡,hui
圇,lûn,,不標
圈,khuân,,文
圈,khuan,,不標
埠,pōo,,不標
執,tsip,,不標
培,puê,,不標
奢,tshia,,不標
娼,tshiong,,不標
娼,tshiang
婉,uán,,不標
婊,piáu,,不標
婢,pī,,不標
寂,tsi̍k,,不標
寂,tsi̍p
寂,tsi̍t
屠,tôo,,不標
崇,tsông,,不標
崔,tshui,,不標
崖,gâi,,不標
崙,lûn,,文
崙,lūn,,俗
巢,tsâu,,不標
帷,uî,,不標
常,siông,,不標
常,siâng
庵,am,,不標
庸,iông,,不標
彗,huī,,不標
彩,tshái,,不標
彪,piu,,不標
彬,pin,,不標
徘,pâi,,不標
御,gū,,不標
御,gī
悉,sik,,不標
悉,sit
悠,iu,,不標
悠,iû
患,huān,,不標
悽,tshe,,文
悽,tshinn,,白
悽,tshi,,白
惘,bóng,,不標
惟,uî,,不標
惟,î,,不標
戚,tshik,,不標
捨,siá,,不標
掇,tuat,,文
掇,tuah,,白
授,siū,,不標
控,khòng,,不標
敏,bín,,不標
敘,sū,,不標
敘,sī
敝,pē,,不標
敝,pè,,不標
晨,sîn,,不標
曹,tsô,,不標
曼,bān,,不標
梁,liông,,文
梁,liâng,,文
梁,niû,,白
梁,niôo,,白
梟,hiau,,不標
梧,ngôo,,不標
梧,gôo
梭,so,,不標
梭,soo
械,hāi,,不標
梵,huān,,不標
棄,khì,,不標
欲,io̍k,,不標
毫,hô,,不標
毫,hôo,,不標
涎,siân,,不標
涎,iân
涯,gâi,,不標
液,i̍k,,文
淇,kî,,不標
淑,siok,,不標
淒,tshe,,不標
淨,tsīng,,不標
淪,lûn,,不標
淫,îm,,不標
淮,huâi,,不標
淵,ian,,不標
混,hūn,,不標
烹,phing,,不標
猖,tshiong,,不標
猖,tshiang
畢,pit,,不標
略,lio̍k,,文
略,lio̍h,,白
異,ī,,不標
異,īnn
疵,tshû,,不標
盔,khue,,不標
硃,tsu,,不標
硫,liû,,不標
祥,siông,,不標
祥,siâng
祧,thiau,,文
移,î,,不標
窕,thiáu,,不標
竟,kìng,,不標
笙,sing,,不標
累,luí,,不標
累,luī,,不標
紳,sin,,不標
紹,siāu,,不標
紹,tsiau,,俗
終,tsiong,,不標
統,thóng,,不標
羞,siu,,不標
習,si̍p,,不標
聆,lîng,,不標
聊,liâu,,不標
唇,tûn,,不標
脬,phau,,文
脬,pha,,白
脰,tōo,,文
脰,tiō,,文
脰,tāu,,白
舷,hiân,,不標
荳,tōo,,文
荳,tiō,,文
荳,tāu,,白
荷,hô,,不標
荷,hō
莎,So,,不標
莎,Soo,,不標
莎,Sa,,官
莖,king,,不標
莧,hiān,,文
莧,hīng,,白
莽,bóng,,不標
處,tshú,,不標
處,tshù,,不標
處,tshí
處,tshì
蛋,tān,,文
袈,ka,,不標
袍,pâu,,文
袍,phàu,,白
袖,siū,,文
袖,siù,,不標
覓,bi̍k,,不標
訟,siōng,,不標
訪,hóng,,不標
豚,tûn,,文
豚,thûn,,白
貧,pîn,,不標
責,tsik,,不標
趾,tsí,,不標
逍,siau,,不標
速,sok,,不標
逢,hông,,文
逢,pâng,,白
陵,lîng,,不標
陶,tô,,不標
頃,khing,,不標
頃,khíng,,不標
傀,khuí,,不標
傀,kui
傑,kia̍t,,不標
備,pī,,不標
凱,khái,,不標
勝,sìng,,不標
勝,sing,,不標
唾,thò,,不標
唾,thòo
喇,lat,,文
喉,hôo,,文
喉,hiô,,文
喉,âu,,白
喚,huàn,,不標
喜,hí,,不標
喧,suan,,不標
喬,kiâu,,不標
喻,jū,,不標
喻,jī
堡,pó,,不標
堡,póo
堤,thê,,不標
堯,giâu,,不標
奠,tiān,,不標
婷,tîng,,不標
媚,bī,,不標
媧,kua
媧,o,,不標
媧,ua
寐,bī,,不標
寓,gū,,不標
寓,gī
嵐,lâm,,不標
廁,tshè,,不標
廂,siong,,文
廂,siang,,文
廂,siunn,,白
廊,lông,,不標
復,ho̍k,,不標
復,hok
復,hiū
悲,pi,,不標
悶,būn,,不標
惑,hi̍k,,不標
惠,huī,,不標
惶,hông,,文
惶,hiânn,,白
惻,tshik,,不標
愉,jû,,不標
愉,lû,,不標
愉,jî
愕,go̍k,,不標
慨,khài,,不標
戟,kik,,不標
揚,iông,,不標
揚,iâng
揭,kiat,,不標
揭,khiat,,不標
揮,hui,,不標
援,uân,,甘
援,uān,,甘
敦,tun,,不標
斌,pin,,不標
斐,huí,,不標
斑,pan,,不標
斯,su,,不標
普,phóo,,不標
智,tì,,不標
暑,sú,,不標
暑,sí
棍,kùn,,不標
棒,pāng,,不標
棠,tông,,不標
棧,tsān,,文
棧,tsàn,,不標
森,sim,,不標
森,som
森,sam
棲,tshe,,不標
棲,se
植,si̍t,,不標
椪,phòng,,不標
欽,khim,,不標
殖,si̍k,,不標
殖,si̍t,,不標
渝,jû,,不標
渝,lû,,不標
渝,jî
渣,tsa,,文
渣,tse,,白
測,tshik,,不標
游,iû,,不標
渺,biáu,,不標
渾,hûn,,不標
渾,hūn
湘,siong,,不標
湘,siang
溉,khài,,文
滋,tsu,,不標
焦,tsiau,,不標
焰,iām,,不標
焱,iām,,文
焱,iānn,,白
然,jiân,,不標
然,liân,,不標
然,giân
猩,sing,,不標
猶,iû,,不標
琢,tok,,不標
琦,kî,,不標
琪,kî,,不標
琳,lîm,,不標
琵,pî,,不標
甥,sing,,不標
痞,phí,,不標
痢,lī,,不標
登,ting,,不標
皓,hō,,不標
皓,hōo,,不標
盜,tō,,不標
盜,tōo
硝,siau,,不標
稀,hi,,不標
稈,kán,,文
稈,kuáinn,,白
稈,kuínn,,白
稈,kuánn,,白
窘,khún,,不標
策,tshik,,不標
紫,tsú,,文
紫,tsí,,白
絡,lo̍k,,不標
絢,hiàn,,不標
給,kip,,不標
絮,sù,,不標
絮,sì
絳,kàng,,文
絳,kòng,,白
翔,siông,,不標
翔,siâng
肅,siok,,文
腋,i̍k,,不標
腑,hú,,不標
舜,sùn,,不標
莿,tshì,,不標
菁,tsing,,文
菁,tshenn,,白
菁,tshinn,,白
菖,tshiong,,不標
菖,tshiang
菩,phôo,,不標
華,huâ,,不標
華,hua,,不標
菱,lîng,,不標
菲,hui,,不標
菲,huí,,不標
萄,tô,,不標
萊,lâi,,不標
萍,phîng,,不標
萍,pîng
萍,phiô,,訓
萎,uí,,不標
蛙,ua,,不標
蛛,tsu,,文
蛛,tu,,白
蛟,kau,,不標
蛤,kap,,不標
袱,ho̍k,,不標
視,sī,,不標
診,tsín,,不標
詐,tsà,,不標
詔,tsiàu,,不標
貂,tiau,,不標
貳,jī,,不標
貳,lī,,不標
貳,gī
貸,tāi,,不標
賀,hō,,不標
賀,hōo
跋,pua̍t,,文
跋,pua̍h,,白
跌,tia̍t,,不標
距,kī,,不標
距,kū,,不標
軸,ti̍k,,不標
軸,tio̍k
辜,koo,,不標
逮,tāi,,不標
週,tsiu,,不標
逸,i̍t,,不標
逸,i̍k,,不標
逸,ia̍t
郵,iû,,不標
鈔,tshau,,不標
鈞,kun,,不標
鈞,kin
閔,bín,,不標
隆,liông,,不標
隍,hông,,不標
階,kai,,文
雇,kòo,,不標
雯,bûn,,不標
頇,han,,不標
須,su,,不標
須,si
黑,hik,,不標
黹,tsí,,不標
傲,ngōo,,不標
傲,gō
傾,khing,,不標
勤,khîn,,不標
勤,khûn,,不標
嗚,oo,,不標
嗣,sū,,不標
嗣,sû
嗦,so,,不標
塑,sòo,,文
塑,sok,,不標
塞,sài,,不標
塞,sik
奧,ò,,不標
奧,òo
媳,sik,,不標
媳,sit
嵯,tshu,,不標
廉,liâm,,不標
微,bî,,不標
愍,bín,,文
愍,bián,,白
愚,gû,,不標
愚,gî
愧,khuì,,不標
慄,lik,,不標
慈,tsû,,不標
慌,hong,,不標
慍,ùn,,不標
慎,sīn,,不標
搏,phok,,不標
斟,tsim,,不標
暇,hā,,文
暇,hē,,白
暈,ūn,,文
暈,n̄g,,白
暈,uīnn,,白
暉,hui,,不標
暖,luán,,不標
棰,tshuê,,不標
棰,tshê,,不標
楚,tshóo,,不標
楣,bî,,文
楣,bâi,,白
楬,khia̍t,,文
極,ki̍k,,不標
楷,khái,,不標
概,khài,,不標
榆,jû,,文
榆,jiû,,不標
歆,him,,不標
殿,tiān,,不標
毽,kiàn,,不標
源,guân,,不標
溫,un,,不標
溯,sòo,,不標
溯,sok
溺,li̍k,,不標
滄,tshong,,不標
滇,tian,,不標
滓,tsú,,文
滓,tsáinn,,白
滓,tsái,,白
煉,liān,,不標
煌,hông,,不標
煤,muî,,文
煤,buê,,白
煥,huàn,,不標
煬,iông,,文
煬,iâng,,文
煬,iāng,,不標
牒,tia̍p,,不標
猾,ku̍t,,不標
瑋,uí,,不標
瑕,hâ,,不標
瑙,ló,,不標
瑙,lóo
瑚,ôo,,不標
瑚,hôo
瑛,ing,,不標
瑜,jû,,不標
瑜,jî
瑞,suī,,不標
瑟,sik,,不標
痱,puì,,不標
痴,tshi,,不標
痹,pì,,不標
痺,pì,,不標
盟,bîng,,不標
睛,tsing,,不標
督,tok,,不標
睦,bo̍k,,不標
睫,tsiap,,文
睫,tsiah,,白
睹,tóo,,不標
硼,phîng,,不標
碓,tuì,,不標
碡,to̍k,,文
碡,ta̍k,,白
祺,kî,,不標
祿,lo̍k,,不標
禽,khîm,,不標
稚,tī,,不標
稜,lîng,,不標
稠,tiû,,不標
窣,sut,,文
筠,ûn,,不標
粱,liông
粱,liâng,,不標
綁,páng,,不標
置,tì,,不標
羨,suān
羨,siān,,不標
肆,sù,,不標
艇,thíng,,不標
葉,hio̍h,,訓
葉,ia̍p,,文
葡,pôo,,文
葡,phû,,不標
葫,hôo,,不標
葵,kuî,,不標
蛻,thuè,,文
蜀,sio̍k,,不標
蜈,gôo,,不標
蜈,ngôo,,不標
蜍,sû,,文
蜍,sî,,文
蜍,tsî,,白
蜍,tsû,,白
衙,gê,,不標
裌,kiap,,不標
裏,lí,,不標
裔,è,,不標
裔,ì,,不標
裕,jū,,不標
裕,lū,,不標
裕,jī
裟,sa,,文
裟,se,,白
詢,sûn,,不標
詣,gē,,不標
詮,tshuan,,不標
詰,khiat,,不標
詳,siông,,不標
詳,siâng
詹,tsiam,,不標
誇,khua,,不標
貉,bi̍k,,文
貉,ho̍k,,文
賂,lōo,,不標
賄,hué,,不標
資,tsu,,不標
賈,ká,,不標
賈,kóo,,不標
辟,phik,,不標
遁,tūn,,不標
遂,suī,,不標
達,ta̍t,,不標
違,uî,,不標
酬,siû,,不標
鉈,tô,,不標
隘,ài,,不標
雉,tī,,文
雉,thī,,白
靖,tsīng,,不標
靶,pà,,文
靶,pé,,不標
頑,guân,,不標
頒,pan,,不標
飾,sik,,不標
馳,tî,,不標
馴,sûn,,不標
鳩,khiu,,不標
僑,kiâu,,不標
僕,po̍k,,不標
僚,liâu,,不標
僧,tsing,,不標
僭,tsiàm,,不標
僭,tshiàm
嘉,ka,,不標
塵,tîn,,不標
塾,sio̍k,,不標
夥,hónn,,文
夥,hué,,白
夥,hé,,白
嫖,phiâu,,不標
嫡,tik,,不標
嫦,siông,,不標
孵,hu,,不標
寞,bo̍k,,不標
察,tshat,,不標
寢,tshím,,不標
寥,liâu,,不標
寧,lîng,,不標
屢,lú
屢,lí,,不標
嶄,tsám,,不標
幣,pè,,不標
廖,liāu,,不標
弊,pè,,不標
弊,pē
彰,tsiong,,不標
彰,tsiang
徹,thiat,,不標
態,thài,,不標
慣,kuàn,,不標
慳,kian,,不標
慷,khóng,,不標
截,tsia̍t,,不標
撤,thiat,,不標
暨,kì,,不標
榛,tsin,,不標
榨,tsà,,不標
榮,îng,,不標
榴,liû,,不標
構,kòo,,不標
構,kiò
槐,huâi,,不標
歉,khiàm,,不標
歉,khiám
滬,hōo,,不標
滯,tī,,不標
滸,hóo,,不標
漉,lo̍k
漠,bo̍k,,不標
漠,bôo
漫,bān,,不標
漳,tsiong
漳,tsiang,,不標
漸,tsiām,,不標
澈,thiat,,不標
煽,siàn,,不標
熏,hun,,不標
犒,khò,,不標
犒,khòo
瑣,só,,不標
瑣,sóo
瑰,kuì,,不標
瘋,hong,,不標
瘍,iông,,不標
瘍,iâng
碧,phik,,不標
碩,si̍k,,不標
碩,si̍t,,泉
磁,tsû,,不標
禎,tsing,,不標
禎,ting
稱,tshing,,不標
稱,tshìng
窩,o,,不標
筵,iân,,不標
箋,tsian,,不標
箏,tsing,,不標
箕,ki,,不標
粹,tshuì,,不標
粹,suì
綜,tsong,,不標
綜,tsòng,,不標
綢,tiû,,不標
維,uî,,不標
維,î,,不標
綱,kong,,不標
綸,lûn,,不標
綸,kuan,,不標
綺,khí,,不標
綽,tshiok,,不標
綾,lîng,,不標
緒,sū,,不標
緒,sī
翠,tshuì,,不標
聚,tsū,,不標
聚,tsī
聞,bûn,,不標
肇,tiāu,,不標
膀,pông
膁,liám,,不標
膈,kik,,文
膈,keh,,白
臺,tâi,,不標
蒙,bông,,不標
蒲,pôo,,不標
蒸,tsing,,不標
蒸,tsin
蒼,tshong,,不標
蒿,ho,,文
蒿,hoo,,文
蒿,o,,不標
蓉,iông,,不標
蓑,sue,,文
蓑,sui,,不標
蜘,ti,,不標
蜞,kî,,文
蜞,khî,,白
蜢,bíng,,文
蜢,bīng,,文
裱,piáu,,不標
裹,kó,,不標
裹,kóo
製,tsè,,不標
製,tsì
褂,kuà,,不標
誌,tsì,,不標
誣,bû,,不標
誦,siōng,,不標
豪,hô,,不標
貌,māu,,不標
貌,bāu
賑,tsín,,不標
賓,pin,,不標
趙,tiō,,不標
輓,buán,,不標
輔,hū
輔,hú,,不標
遙,iâu,,不標
遜,sùn,,不標
遞,tē,,不標
遣,khián,,不標
酷,khok,,不標
銘,bîng,,不標
閩,bân,,不標
際,tsè,,不標
障,tsiòng,,不標
障,tsiàng,,不標
需,su,,不標
鞅,iòng
鞅,iàng
鞅,ióng,,不標
鞅,iáng
頗,phó,,不標
頗,phóo
颱,thai,,不標
餃,kàu,,文
餃,kiáu,,官
餉,hiòng,,不標
餉,hiàng
骰,tôo,,文
骰,tiô,,文
骰,tâu,,白
魁,khue,,不標
魠,thok,,文
魠,thoh,,白
魠,thuh,,白
鳴,bîng,,不標
僵,kiong,,文
僵,kiang,,文
僵,khiong,,白
僻,phik,,文
僻,phiah,,白
儀,gî,,不標
劇,ki̍k,,不標
劇,kio̍k,,俗
劇,kia̍k
劈,phik,,不標
劉,liû,,文
劉,lâu,,白
嘮,lo,,不標
嘯,siàu,,不標
嘻,hi,,不標
增,tsing,,不標
墩,tun,,不標
墮,tuī,,不標
嬉,hi,,不標
履,lí,,不標
慕,bōo,,不標
慧,huī,,不標
慮,lī,,不標
慮,lū,,不標
慰,uì,,不標
慶,khìng,,不標
慼,tshik,,不標
慼,tsheh,,白
慼,tshueh,,白
慾,io̍k,,不標
憚,tān,,不標
憢,giâu,,不標
憤,hún,,文
憤,hùn,,不標
憫,bín,,不標
戮,lio̍k,,不標
摩,môo,,不標
摯,tsì,,不標
摹,bôo,,不標
摹,bōo,,不標
撙,tsún,,不標
撫,hú,,不標
撫,bú,,俗
撮,tsuat,,不標
撮,tshuat
撰,tsuān,,不標
敵,ti̍k,,不標
敷,hu,,不標
暮,bōo,,不標
暱,li̍k,,不標
暱,li̍t,,不標
槤,liân,,不標
槤,lián
樞,tshu,,不標
歎,thàn,,不標
毅,gē,,不標
毅,gī,,不標
潔,kiat,,不標
潛,tsiâm,,不標
潦,ló,,不標
潦,nóo
潮,tiâu,,文
潮,tiô,,白
潺,tshan,,不標
澄,tîng,,不標
澎,phîng,,文
澎,phênn,,白
澎,phînn,,白
熥,thong,,文
熥,thang,,白
獠,liâu,,不標
瑩,îng,,不標
璃,lî,,文
璃,lê,,不標
瘟,un,,不標
瘦,sóo,,不標
瘦,sió
確,khak,,不標
磊,luí,,不標
磋,tsho,,不標
磋,tshoo
稷,tsik,,不標
稻,tō,,不標
穀,kok,,文
穀,kak,,白
箴,tsim,,不標
糍,tsû,,文
糍,tsî,,白
緞,tuān,,不標
締,thè,,文
締,tè,,文
緯,huī,,文
緻,tì,,不標
羯,kiat,,不標
翩,phian,,不標
膝,tshik,,不標
膝,sik
蓪,thong,,不標
蓬,hông,,不標
蓮,liân,,不標
蔑,bia̍t,,不標
蔓,bān,,不標
蔚,uì,,不標
蔡,tshài,,文
蔡,tshuà,,白
蔽,pè,,不標
衛,uē,,不標
複,hok,,文
複,ho̍k,,俗
誕,tān,,文
誕,tàn,,俗
誹,huí,,不標
誼,gī,,不標
諒,liōng,,不標
諒,liāng
諸,tsu,,不標
豎,sū,,不標
賦,hù,,不標
趣,tshù,,不標
趣,tshì
踐,tsiān,,不標
踔,tshi̍k,,不標
踩,tshái,,不標
輝,hui,,不標
遨,ngôo,,不標
遨,gô
適,sik,,不標
遭,tso,,不標
遭,tsoo
鄧,tīng,,不標
醇,sûn,,不標
銲,hān,,文
銲,huānn,,白
銳,juē,,不標
銳,luē,,不標
鋁,lū,,文
鋁,lī,,文
鋒,hong,,不標
鋤,thû,,文
鋤,thî,,文
鋤,tî,,白
鋤,tû,,白
閬,lōng,,文
閬,lông,,文
震,tsìn,,不標
鞏,kióng,,不標
頡,khiat,,不標
頡,kiat,,鹿港
駐,tsù,,不標
駕,kà,,不標
駝,tô,,不標
駝,tôo
髮,huat,,不標
魴,hong,,文
魴,hang,,白
鴆,thìm,,文
鴆,thim,,不標
鴉,a,,不標
黎,lê,,不標
儒,jû,,不標
儒,jî
儘,tsín,,不標
儘,tsīn,,不標
劑,tse,,俗
劑,tsè,,不標
勳,hun,,不標
叡,juē,,不標
叡,luē,,不標
圜,huân,,不標
圜,uân
墾,khún,,不標
奮,hùn,,不標
導,tō,,不標
憶,ik,,文
憶,it,,白
憾,hām,,不標
懊,ò,,文
懊,òo,,文
懊,àu,,白
擁,ióng,,不標
擅,siān,,不標
曉,hiáu,,不標
樵,tsiâu,,不標
樺,huâ,,不標
樺,huā,,不標
歷,li̍k,,不標
澡,tsó,,不標
澡,tsóo
澤,ti̍k,,不標
澳,ò,,不標
澳,òo
濃,lông,,不標
燄,iām,,不標
璞,phok,,不標
瓢,phiâu,,文
瓢,phiô,,白
磟,lio̍k,,文
磟,la̍k,,白
禦,gū,,不標
禦,gī
穌,soo,,不標
窵,tiàu,,不標
窺,kui,,文
窺,khui,,不標
築,tiok,,文
築,tio̍k,,俗
篤,tok,,不標
縐,tsòo,,文
縐,tsiò,,文
縐,tshiù,,文
翰,hān,,不標
膩,jī,,不標
膩,lī,,不標
膩,gī
蕃,huan,,不標
蕃,huân
融,iông,,不標
融,hiông,,不標
螟,bîng,,不標
螢,îng,,不標
衡,hîng,,不標
褥,jio̍k,,不標
觱,pit,,文
諜,tia̍p,,不標
諦,tè,,不標
諧,hâi,,不標
諭,jū,,不標
諭,lū,,不標
諭,jī
諳,am,,不標
諾,lo̍k,,不標
謀,bôo,,不標
謀,biô
謂,uī,,不標
豫,ū,,不標
豫,ī
踴,ióng,,不標
輻,hok,,不標
辨,piān,,不標
遲,tî,,不標
遵,tsun,,不標
遺,uî,,不標
遼,liâu,,不標
錐,tsui,,不標
錦,kím,,不標
錦,gím,,白
閻,iâm,,文
閻,giâm,,不標
隧,suī,,不標
霎,sap,,不標
頸,kíng,,不標
頹,tuê,,不標
頻,pîn,,不標
餐,tshan,,不標
餞,tsiàn,,不標
餞,tsián
駱,lo̍k,,文
駱,lo̍h,,白
骸,hâi,,不標
鮑,páu,,文
鮑,pâu
鮑,pau,,俗
鮑,pāu,,不標
鮕,koo,,不標
鴛,uan,,不標
鴟,tshi,,不標
鴣,koo,,不標
默,bi̍k,,不標
償,siông,,不標
償,sióng,,泉
儡,luí,,文
儡,lé,,白
優,iu,,不標
儲,tû,,不標
儲,tî
勵,lē,,不標
壕,hô,,不標
壕,hôo
嶼,sū,,不標
嶼,sī
嶽,ga̍k,,不標
彌,bí
彌,bî
彌,mí
彌,mî
懇,khún,,不標
懦,nōo,,不標
擊,kik,,不標
擎,khîng,,不標
擎,king,,不標
擬,gí,,不標
斂,liám,,不標
斃,pē,,不標
曖,ài,,不標
檜,kuè,,不標
檢,kiám,,不標
殭,kiong,,文
殭,kiang,,文
殭,khiong,,白
殮,liām,,不標
氈,tsian,,文
氈,tsinn,,白
濟,tsè,,不標
濟,tsé
濤,tô,,不標
濤,tôo,,不標
濱,pin,,不標
燦,tshàn,,不標
療,liâu,,俗
療,liāu,,文
癆,lô,,不標
瞬,sùn,,不標
瞭,liáu,,文
瞭,liâu,,不標
瞳,tông,,不標
矯,kiáu,,不標
磺,hông,,文
磺,n̂g,,白
磺,uînn,,白
篠,siáu,,不標
糙,tshò,,不標
糙,tshòo
糟,tso,,文
糟,tsoo,,文
糟,tsau,,白
縭,lî,,不標
縱,tshiòng,,不標
縱,tshiong,,不標
縱,tshióng,,不標
繁,huân,,不標
繆,biû,,文
繆,biū,,文
聰,tshong,,文
聰,tshang,,白
臆,ik,,不標
臉,liám,,不標
舉,kí,,不標
舉,kú,,不標
艚,tsô,,不標
艚,tsôo
艱,kan,,不標
蕗,lōo,,不標
蕾,luí,,甘
薇,bî,,不標
薈,kuè,,文
薈,uè,,文
薈,huē,,白
薈,hē,,白
薏,ì,,不標
薔,tshiông,,文
薔,tshiâng,,文
薔,tshiûnn,,白
薔,tshiônn,,白
薪,sin,,不標
虧,khui,,不標
螿,tshiong,,文
螿,tshiang,,文
螿,tsiunn,,白
螿,tsionn,,白
蟀,sut,,不標
蟄,ti̍t,,不標
蟄,ti̍p
蟄,ti̍k
襄,siong,,不標
襄,siang
謄,thîng,,不標
謊,hóng,,不標
謊,hong,,不標
謎,bē,,文
謎,bī,,白
謗,pòng,,不標
謙,khiam,,不標
謠,iâu,,不標
賺,tām,,文
賺,tsiām,,文
購,kòo,,文
購,kiò,,文
購,káng,,俗
蹈,tō,,不標
蹈,tōo
蹉,tsho,,不標
蹉,tshoo
蹊,hê,,文
轄,hat,,不標
轄,ha̍t
避,pī,,不標
邁,māi,,不標
醜,tshiú,,不標
鍍,tōo,,不標
鍘,tsa̍t,,文
鍘,tsa̍h,,白
鍵,kiān,,不標
鍼,tsim,,文
鍼,tsiam,,白
闆,phàn
闆,pán,,不標
雖,sui,,不標
鞠,kiok,,不標
駿,tsùn,,不標
鮫,kau,,文
鮫,ka,,白
鴻,hông,,不標
黛,tāi,,不標
嚮,hiòng,,不標
嚮,hiàng
擾,jiáu,,不標
擾,liáu,,不標
擾,giáu
檳,pin,,不標
檸,lîng
檸,líng
璿,suân,,不標
瞻,tsiam,,不標
礎,tshóo,,不標
穢,uè,,文
穢,è,,白
竄,tshuàn,,不標
簡,kán,,不標
簪,tsim,,文
簪,tsiam,,白
簪,tsam,,白
罈,thâm,,不標
薩,sat,,不標
藏,tsōng,,不標
藏,tsông,,不標
藐,biáu,,不標
謬,biū,,不標
謳,oo,,不標
謳,io
謹,kín,,不標
贅,tsuè,,不標
蹟,tsik,,不標
蹤,tsong,,不標
蹧,tso,,文
蹧,tsau,,白
轆,lo̍k,,不標
轍,tia̍t,,不標
釐,lî,,不標
鎔,iông,,文
鎔,iâng,,文
鎔,iûnn,,白
鎔,iônn,,白
闔,khap
闔,ha̍p,,不標
闕,khuat,,不標
闖,tshuàng,,不標
鞦,tshiu,,不標
鮸,bián,,不標
鯊,sa,,文
鯊,sua,,白
鵑,kuan,,不標
壞,huāi,,不標
壟,lóng,,不標
壢,li̍k,,不標
懲,tîng,,不標
懷,huâi,,不標
曠,khòng,,不標
瀘,lôo
瀘,lū,,不標
瀚,hān,,不標
瀟,siau,,不標
爆,po̍k,,不標
牘,to̍k,,不標
犢,to̍k,,不標
獸,siù,,不標
獺,thuah,,白
獺,that,,文
疆,kiong,,不標
疆,kiang
癡,tshi,,不標
矇,bông,,不標
禱,tó,,不標
禱,tóo
穫,hi̍k,,不標
繪,huē,,不標
羅,lô,,不標
羅,lôo
藕,ngóo,,文
藕,gió,,文
藕,ngāu,,白
蟾,siâm,,不標
蠅,sîng,,文
蠅,sîn,,白
蠍,iat,,文
蠍,giat,,白
襟,khim,,不標
譁,hua,,文
譏,ki,,不標
譚,tâm,,不標
譚,thâm
贈,tsīng,,不標
贊,tsàn,,不標
蹲,tsun,,不標
躇,tû,,不標
躇,tî
鏃,tso̍k,,不標
鏘,tshiong,,不標
鏘,tshiang
顛,tian,,不標
饅,buân,,文
饅,bân,,文
鯗,sióng,,文
鯗,siáng,,文
鯗,siúnn,,白
