詞目id,詞目漢字,對應詞目id,對應詞目漢字
,貧惰骨,,懶屍骨
,逐暗,,逐下昏
,逐暗,,逐暝
,貨樣,,見本
,貨樣,,貨範
,通譯,,翻譯
,頂日,,昨日
,都合,,拄好
,都合,,拄拄好
,釣鉤,,釣仔
,陰謀,,野心
,陰謀,,詭計
,陰謀,,暗計
,魚,,魚仔
,魚仔市,,魚市
,麻虱目,,虱目魚
,麻虱目,,海草魚
,魚釣仔,,釣竿
,鳥鼠擗仔,,鳥鼠籠
,鳥鼠觸仔,,鳥鼠張
,鳥鼠觸仔,,鳥鼠罩
,魚鱗𤺅仔,,魚鱗刺
,傘,,雨傘
,傘,,陽傘
,善男信女,,善信
,喉滇,,喉管滇
,割價,,大賣價
,喨仔,,鈃仔
,喨仔,,鈴喨仔
,喨仔,,鈴鐺仔
,就,,順
,幾工,,偌濟工
,復興,,中興
,插,,管
,插一跤,,參一跤
,插代誌,,插事
,插代誌,,管事
,提親,,講親情
,提親,,講親事
,敢有,,豈有
,換帖的,,結拜
,換帖的,,結拜的
,換紅,,褪孝
,斑馬線,,過路線
,散賣,,小賣
,敢講,,誠實講
,朝,,朝代
,棗,,棗仔
,椅,,椅仔
,朝代,,朝
,棗仔,,棗
,椅仔,,椅
,椅墊仔,,椅苴
,椅墊仔,,坐墊
,椅頭仔,,鼓椅仔
,棉襀,,棉襀被
,棉襀被,,棉襀
,椏,,枝
,湳,,漉糊糜
,湳田,,爛田
,牌,,牌仔
,牚,,楗
,猴山仔,,猴
,無心肝,,無良心
,無心肝,,無記持
,無心情,,無心腸
,無心情,,無情緒
,牌仔,,牌
,無可奈何,,無法度
,無啥物,,無啥
,無路用,,不中用
,無路用,,無事使
,無疑悟,,料想袂到
,無疑悟,,無疑
,無疑悟,,想袂到
,痚呴,,痚呴注
,痚呴,,痚呴病
,發芽,,發穎
,發芽,,出芽
,痛苦,,艱苦
,發喙齒,,發牙
,發喙齒,,發齒
,硬,,𠕇
,硩枝,,插枝
,硩枝,,插條
,絞,,捲
,絨,,絨仔
,絲仔襪,,絲襪仔
,答喙鼓,,拍喙鼓
,答喙鼓,,盤喙錦
,菊花,,菊仔花
,虛弱,,軟弱
,註好好,,註死
,註死,,註好好
,趁食,,討食
,越頭,,翻頭
,跑,,走
,鄉長,,鄉鎮長
,跙倒,,滑倒
,郵差,,挈批的
,跑馬,,走馬
,郵票,,切手
,郵筒,,批桶
,郵筒,,批筒
,鄉鎮,,鄉鎮市
,開口,,開喙
,量仔,,秤仔
,量仔,,量
,鈃仔,,喨仔
,鈃仔,,鈃
,開破,,啟發
,開破,,解說
,開張,,開業
,開張,,開幕
,開業,,開幕
,開價,,出價
,飲,,啉
,飯斗,,飯桶
,飯杓,,飯匙
,飯杓,,飯桸
,黃泉,,九泉
,飯匙銃,,目鏡蛇
,飯湯,,湯飯
,雅量,,肚量
,傷害,,傷礙
,匯票,,銀單
,填,,坉
,圓仔粞,,粿粞
,圓仔粞,,米粞
,塌空,,塌縫
,圓栱門,,月圓門
,塌落,,陷落
,媽祖,,媽祖婆
,想,,思
,惹代誌,,惹厄
,惹代誌,,惹是非
,惹代誌,,惹禍
,愛哭,,愛吼
,搧,,抉
,新正,,春節
,新正,,新春
,搶劫,,強搶
,搶劫,,強劫
,新春,,新正
,新娘房,,洞房
,新婚,,新人
,新婦,,媳婦
,搪著,,拄著
,搪著,,遇著
,椰,,椰子
,椰,,椰子樹
,楗,,牚
,楓仔樹,,楓
,楓仔樹,,楓仔
,楓仔樹,,楓樹
,暗行,,陰謀
,暗行,,暗計
,暗飯,,暗頓
,暗飯,,下昏頓
,暗頓,,暗飯
,暗頓,,下昏頓
,溝,,圳
,歁頭歁面,,儑面
,歁頭歁面,,儑頭儑面
,歁頭歁面,,癮頭
,煏油,,炸油
,煏空,,破空
,滑倒,,跙倒
,當年,,較早
,當事人,,事主
,當初,,彼陣
,當初,,當時
,當面,,當頭對面
,當面,,相對頭
,當值,,值班
,痴哥,,痴哥神
,痴哥,,豬哥
,痴哥,,豬哥神
,痴哥神,,痴哥
,痴哥神,,豬哥
,痴哥神,,豬哥神
,當頭對面,,當面
,禁忌,,譴損
,碎糊糊,,碎鹽鹽
,碎糊糊,,碎溶溶
,落空逝,,落空車
,落空逝,,放空載
,落雨,,雨來
,落屎馬,,飯桶
,落後日,,大後日
,落後日,,明仔後日
,腦貧血,,腦欠血
,落魄,,狼狽
,葉仔,,葉
,葫蘆,,葫蘆匏仔
,蜂,,蜜蜂
,解答,,答案
,解愁,,解憂愁
,詬詬唸,,踅踅唸
,詬詬唸,,嘈嘈唸
,蜈蜞釘,,馬釘
,試驗,,考驗
,跤來手來,,動跤動手
,跤後肚,,跤肚
,跤枷,,跤鐐
,跤兜,,左右
,跤梢間仔,,查某間
,跤梢間仔,,婊間
,跤梢間仔,,趁食間
,跤梢間仔,,暗間仔
,跤梢間仔,,妓女戶
,該然,,應該
,趒跤頓蹄,,趒跤頓地
,跤踏仔,,跤枋
,跤踏車,,孔明車
,跤踏車,,自轉車
,跤踏車,,鐵馬
,跤擋,,手擋
,遍,,改
,過戶,,過名
,運用,,利用
,過名,,過戶
,運途,,命途
,路程,,遠近
,過數,,轉數
,過癮,,夠氣
,過癮,,煞氣
,鉛桶,,亞鉛桶
,飼,,育
,飽仁,,飽朱
,電火泡仔,,電火球仔
,電火泡仔,,電球仔
,電火球仔,,電火泡仔
,電火球仔,,電火觳仔
,電火球仔,,電球
,頓印,,硩印仔
,電影戲園,,戲院
,電影戲園,,戲園
,電頭鬃店,,剃頭店
,電頭鬃店,,電頭毛店
,電頭鬃店,,美容院
,厭,,飽
,嘔血,,呸血
,嘔血,,嘔紅
,嘔血,,嘔紅吐血
,嘔紅,,吐血
,嘔紅,,呸血
,嘔紅,,嘔紅吐血
,僫做,,歹做
,嫖客,,開查某的
,對手,,敵手
,對拄,,相坐
,對拄,,相抵
,對指,,對訊
,對指,,對問
,對指,,對質
,慣勢,,習慣
,暝日,,日暝
,暝車,,暗車
,漉喙,,汰喙
,漉喙,,洗口
,漉喙,,漱口
,漉糊糜,,湳
,漉糊糜,,漉糊仔糜
,管,,管仔
,綠豆仔,,綠豆
,精牲,,畜生
,精牲,,禽獸
,精牲,,豬狗精牲
,管理,,發落
,粿粞,,米粞
,綹,,束
,蒜,,蒜仔
,蒜,,蒜頭
,蓆,,蓆仔
,認真,,拍拚
,鉸,,剪
,鉼,,片
,輓聯,,白聯
,輓聯,,聯彩
,劍竹,,劍竹仔
,劍筍,,劍竹仔筍
,墨,,墨水
,墨,,墨汁
,墨水,,墨
,墨水,,墨汁
,墨汁,,墨
,墨汁,,墨水
,影目,,顯目
,影目,,醒目
,撒胡椒,,糝胡椒
,撚骰仔,,撚寶
,撚骰仔,,撚十八仔
,撩,,𠞭
,敵手,,對手
,佈田管,,佈田管仔
,播送,,放送
,槽頭,,槽頭肉
,數額,,額數
,數額,,額聲
,標準,,目標
,盤車,,轉車
,磅,,秤
,磅,,量
,稻,,稻仔
,磅重,,秤重
,篋,,篋仔
,篋仔,,盒仔
,篋仔,,篋
,蝝,,蟲
,蔭身,,蔭屍
,蝦蛄擗仔,,蝦姑頭
,蝦蛄擗仔,,蝦蛄仔
,談判,,槌摃鐵
,褒獎,,誇獎
,豬,,豚
,請求,,申請
,豬肝,,肝花
,豬狗精牲,,畜生
,豬狗精牲,,精牲
,豬哥神,,姼仔詼
,豬哥神,,痴哥
,豬哥神,,痴哥神
,遮風,,閘風
,輪框,,輪箍
,遭遇,,拄著
,鋪排話,,場面話
,閬縫,,閬空
,鞋,,鞋仔
,養女,,新婦仔
,靠岸,,靠碼頭
,鞋抿仔,,鞋抿
,鬧房,,弄新娘
,鬧房,,鬧新娘房
,魬魚,,魬仔
,魬魚,,魬仔魚
,器具,,家私
,儑面,,歁頭歁面
,儑面,,儑
,儑面,,儑頭儑面
,儑面,,癮頭
,儑頭儑面,,歁頭歁面
,儑頭儑面,,儑面
,儑頭儑面,,癮頭
,學問,,字目
,擔頭,,負擔
,樹仔,,樹
,樹仔,,樹木
